split,id,sentence,tagged_sentence,ner_labels,has_entity
train,10,Watumiaji pia walikuwa wakitumia maudhui yanayowekwa kwenye mtandao na wagombea wa upinzani kwenye ukurasa huo na kubadilisha yaonekane kama yao Pamoja na kuongeza ndani habari za uongo na kuchafua wenzao sifa .,Watumiaji pia walikuwa wakitumia maudhui yanayowekwa kwenye mtandao na wagombea wa upinzani kwenye ukurasa huo na kubadilisha yaonekane kama yao Pamoja na kuongeza ndani habari za uongo na kuchafua wenzao sifa .,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,False
train,11,"Kulingana na kampuni ya facebook , watumiaji wa akanuti hizo walikuwa wanazitumia kushambulia watu wengine kwa matusi na maneno makali kwenye kurasa zao na walikuwa wanatumia internet ya wizara ya habari , mawasiliano na teknolojia ya Uganda .","Kulingana na kampuni ya facebook/B-ORG , watumiaji wa akanuti hizo walikuwa wanazitumia kushambulia watu wengine kwa matusi na maneno makali kwenye kurasa zao na walikuwa wanatumia internet ya wizara ya habari , mawasiliano na teknolojia ya Uganda/B-LOC .",O O O O B-ORG O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-LOC O,True
train,12,Vyombo vya habari Uganda zinaripoti kwamba zaidi ya akaunti 100 za facebook zimefungwa .,Vyombo vya habari Uganda/B-LOC zinaripoti kwamba zaidi ya akaunti 100 za facebook/B-ORG zimefungwa .,O O O B-LOC O O O O O O O B-ORG O O,True
train,13,"Mkuu wa mawasiliano wa rais Yoweri Museveni , Don Wanyama , ameshutumu kampuni za facebook na Twitter akidai kwamba zinashirikiana na wanasiasa wa upinzani dhidi ya chama cha NRM .","Mkuu wa mawasiliano wa rais Yoweri/B-PER Museveni/I-PER , Don/B-PER Wanyama/I-PER , ameshutumu kampuni za facebook/B-ORG na Twitter/B-ORG akidai kwamba zinashirikiana na wanasiasa wa upinzani dhidi ya chama cha NRM/B-ORG .",O O O O O B-PER I-PER O B-PER I-PER O O O O B-ORG O B-ORG O O O O O O O O O O O B-ORG O,True
train,14,"Wanyama ameandika ujumbe wa twitter akisema kwamba akaunti zote za facebook na twitter ambazo zimefungwa zinastahili kufunguliwa , akitaka tume ya mawasiliano nchini Uganda UCC , kuhakikisha kwamba kuna usawa wa kutumia mitandao ya kidigitali nchini humo .","Wanyama/B-PER ameandika ujumbe wa twitter akisema kwamba akaunti zote za facebook/B-ORG na twitter ambazo zimefungwa zinastahili kufunguliwa , akitaka tume ya mawasiliano nchini Uganda/B-LOC UCC/B-ORG , kuhakikisha kwamba kuna usawa wa kutumia mitandao ya kidigitali nchini humo .",B-PER O O O O O O O O O B-ORG O O O O O O O O O O O O B-LOC B-ORG O O O O O O O O O O O O O,True
train,15,Wanyama amenukuliwa na gazeti la Daily Monitor akisema kwamba ni aibu kubwa wa kwatu kutoka nje ya nchi kujaribu kuweka utawala wao nchini Uganda kwa kufunga akaunti za facebook na twitter za chama cha NRM .,Wanyama/B-PER amenukuliwa na gazeti la Daily/B-ORG Monitor/I-ORG akisema kwamba ni aibu kubwa wa kwatu kutoka nje ya nchi kujaribu kuweka utawala wao nchini Uganda/B-LOC kwa kufunga akaunti za facebook/B-ORG na twitter za chama cha NRM/B-ORG .,B-PER O O O O B-ORG I-ORG O O O O O O O O O O O O O O O O B-LOC O O O O B-ORG O O O O O B-ORG O,True
train,16,Amesisitiza kwamba rais Yoweri Museveni hataondolewa madarakani .,Amesisitiza kwamba rais Yoweri/B-PER Museveni/I-PER hataondolewa madarakani .,O O O B-PER I-PER O O O,True
train,17,"Mmoja wa wasimamizi wa habari wa chama cha NRM Ashburg Kato , ameshutumu mgombea wa urais Bobi Wine kwa kushiriki katika kufunga akaunti za chama kinachotawala cha NRM .","Mmoja wa wasimamizi wa habari wa chama cha NRM/B-ORG Ashburg/B-PER Kato/I-PER , ameshutumu mgombea wa urais Bobi/B-PER Wine/I-PER kwa kushiriki katika kufunga akaunti za chama kinachotawala cha NRM/B-ORG .",O O O O O O O O B-ORG B-PER I-PER O O O O O B-PER I-PER O O O O O O O O O B-ORG O,True
train,18,"Msemaji wa chama cha National unity platform NUP , chake Bobi Wine , Joel Senyonyi amekanusha madai kwamba wamehusika katika hatua ya kufungwa kwa akaunti hizo .","Msemaji wa chama cha National/B-ORG unity/I-ORG platform/I-ORG NUP/I-ORG , chake Bobi/B-PER Wine/I-PER , Joel/B-PER Senyonyi/I-PER amekanusha madai kwamba wamehusika katika hatua ya kufungwa kwa akaunti hizo .",O O O O B-ORG I-ORG I-ORG I-ORG O O B-PER I-PER O B-PER I-PER O O O O O O O O O O O O,True
train,19,"Hatua ya facebook , inajiri siku chache baada ya serikali ya rais Yoweri Museveni , kupitia tume ya mawasiliano UCC , ikitaka kampuni ya google kufunga channeli zote za You tube za wagombea wa upinzani hasa Bobi Wine .","Hatua ya facebook/B-ORG , inajiri siku chache baada ya serikali ya rais Yoweri/B-PER Museveni/I-PER , kupitia tume ya mawasiliano UCC/B-ORG , ikitaka kampuni ya google/B-ORG kufunga channeli zote za You tube za wagombea wa upinzani hasa Bobi/B-PER Wine/I-PER .",O O B-ORG O O O O O O O O O B-PER I-PER O O O O O B-ORG O O O O B-ORG O O O O O O O O O O O B-PER I-PER O,True
train,20,Google ilikataa kutekeleza ombi hilo .,Google/B-ORG ilikataa kutekeleza ombi hilo .,B-ORG O O O O O,True
train,21,"Imetayarishwa na Kennes Bwire , VOA , Washington DCWatu 16 wameuwawa katika shambulizi la Jumapili linalosadikiwa kufanywa na kundi la Al - Shabab kwenye hoteli moja mjini Mogadishu , msemaji wa serikali Ismail Mukthar Omar amesema .","Imetayarishwa na Kennes/B-PER Bwire/I-PER , VOA/B-ORG , Washington/B-LOC DCWatu 16 wameuwawa katika shambulizi la Jumapili/B-DATE linalosadikiwa kufanywa na kundi la Al/B-ORG -/I-ORG Shabab/I-ORG kwenye hoteli moja mjini Mogadishu/B-LOC , msemaji wa serikali Ismail/B-PER Mukthar/I-PER Omar/I-PER amesema .",O O B-PER I-PER O B-ORG O B-LOC O O O O O O B-DATE O O O O O B-ORG I-ORG I-ORG O O O O B-LOC O O O O B-PER I-PER I-PER O O,True
train,22,"Raia 11 na washambuliaji wa 5 ndio waliouawa katika shambulizi hilo , Omar aliandika kwenye twitter .","Raia 11 na washambuliaji wa 5 ndio waliouawa katika shambulizi hilo , Omar/B-PER aliandika kwenye twitter .",O O O O O O O O O O O O B-PER O O O O,True
train,23,"Omar ameongeza kuwa mwajeshi moja wa serekali aliuwawa , na watu 18 walijeruhiwa .","Omar/B-PER ameongeza kuwa mwajeshi moja wa serekali aliuwawa , na watu 18 walijeruhiwa .",B-PER O O O O O O O O O O O O O,True
train,24,"Taarifa zinasema wanamgambo wa Al Shabab walivamia hoteli ya kifafari iliyopo katika ufukwe wa Lido , walitegua bomu la kwenye gari na baadae wakafyatua risasi wakitumia bunduki za rashasha .","Taarifa zinasema wanamgambo wa Al/B-ORG Shabab/I-ORG walivamia hoteli ya kifafari iliyopo katika ufukwe wa Lido/B-LOC , walitegua bomu la kwenye gari na baadae wakafyatua risasi wakitumia bunduki za rashasha .",O O O O B-ORG I-ORG O O O O O O O O B-LOC O O O O O O O O O O O O O O O,True
train,25,"Hotel hiyo inamilikiwa na Abdullahi Mohamed Nor , mbunge na waziri wa zamani wa fedha , na ilikua inatembelewa sana na maafisa wa serekali na wasomali waishio nje ya nchi .","Hotel hiyo inamilikiwa na Abdullahi/B-PER Mohamed/I-PER Nor/I-PER , mbunge na waziri wa zamani wa fedha , na ilikua inatembelewa sana na maafisa wa serekali na wasomali waishio nje ya nchi .",O O O O B-PER I-PER I-PER O O O O O O O O O O O O O O O O O O O O O O O O,True
train,26,"Gazeti la Los Angeles Times liliripoti kwamba Woods alikuwa akiendesha kwa mwendo kasi na alipoteza udhibiti wa gari , alivuka njia panda na kisha gari likapinduka mara kadhaa hadi lilipojikita kwenye shimo Mcheza Gofu wa kulipwa Marekani , Tiger Woods , amepata ajali mbaya ya gari Jumanne kulingana na idara ya polisi ya kaunti ya Los Angeles nchini Marekani .","Gazeti la Los/B-ORG Angeles/I-ORG Times/I-ORG liliripoti kwamba Woods/B-PER alikuwa akiendesha kwa mwendo kasi na alipoteza udhibiti wa gari , alivuka njia panda na kisha gari likapinduka mara kadhaa hadi lilipojikita kwenye shimo Mcheza Gofu wa kulipwa Marekani/B-LOC , Tiger/B-PER Woods/I-PER , amepata ajali mbaya ya gari Jumanne/B-DATE kulingana na idara ya polisi ya kaunti ya Los/B-LOC Angeles/I-LOC nchini Marekani/B-LOC .",O O B-ORG I-ORG I-ORG O O B-PER O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-LOC O B-PER I-PER O O O O O O B-DATE O O O O O O O O B-LOC I-LOC O B-LOC O,True
train,27,Gari la Woods limeripotiwa kupinduka mara kadhaa karibu na mji wa Ranchos Palos Verdes kwenye jimbo la California ambapo Woods alitolewa kutoka kwenye gari iliyoharibika vibaya .,Gari la Woods/B-PER limeripotiwa kupinduka mara kadhaa karibu na mji wa Ranchos/B-LOC Palos/I-LOC Verdes/I-LOC kwenye jimbo la California/B-LOC ambapo Woods/B-PER alitolewa kutoka kwenye gari iliyoharibika vibaya .,O O B-PER O O O O O O O O B-LOC I-LOC I-LOC O O O B-LOC O B-PER O O O O O O O,True
train,28,Picha za video katika eneo la ajali zinaonesha gari katika upande aliokuwa Woods limetumbukia kwenye shimo huku likiwa limeharibika vibaya .,Picha za video katika eneo la ajali zinaonesha gari katika upande aliokuwa Woods/B-PER limetumbukia kwenye shimo huku likiwa limeharibika vibaya .,O O O O O O O O O O O O B-PER O O O O O O O O,True
train,29,Vipande vya gari vilionekana karibu na mabaki ya mahala gari lilipotumbukia .,Vipande vya gari vilionekana karibu na mabaki ya mahala gari lilipotumbukia .,O O O O O O O O O O O O,False
train,30,"Woods alipelekwa katika kituo cha matibabu cha UCLA , mahala ambapo anapatiwa matibabu kwa majeraha , na imeripotiwa kuwa alikuwa peke yake ndani ya gari hilo .","Woods/B-PER alipelekwa katika kituo cha matibabu cha UCLA/B-ORG , mahala ambapo anapatiwa matibabu kwa majeraha , na imeripotiwa kuwa alikuwa peke yake ndani ya gari hilo .",B-PER O O O O O O B-ORG O O O O O O O O O O O O O O O O O O O,True
train,31,Ofisi ya sheriff wa kaunti ya LA imesema majeraha ya Woods hayakuwa katika kiwango cha kutishia maisha .,Ofisi ya sheriff wa kaunti ya LA/B-LOC imesema majeraha ya Woods/B-PER hayakuwa katika kiwango cha kutishia maisha .,O O O O O O B-LOC O O O B-PER O O O O O O O,True
train,32,"Gazeti la Los Angeles Times , liliripoti kwamba Woods alikuwa akiendesha kwa mwendo kasi na alipoteza udhibiti wa gari , alivuka njia panda ambayo inagawanya maeneo na kisha gari lake likapinduka mara kadhaa kabla ya kujikuta kwenye shimo .","Gazeti la Los/B-ORG Angeles/I-ORG Times/I-ORG , liliripoti kwamba Woods/B-PER alikuwa akiendesha kwa mwendo kasi na alipoteza udhibiti wa gari , alivuka njia panda ambayo inagawanya maeneo na kisha gari lake likapinduka mara kadhaa kabla ya kujikuta kwenye shimo .",O O B-ORG I-ORG I-ORG O O O B-PER O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,True
train,33,Ofisi ya Kamishna Mkuu wa Haki za Binadamu katika Umoja wa Mataifa inatoa wito kwa Uganda kurekebisha mswaada wa kupiga marufuku mahusiano ya jinsia moja ambayo inasema yatakiuka viwango vya haki za binadamu na kudhoofisha afya ya umma .,Ofisi ya Kamishna Mkuu wa Haki/B-ORG za/I-ORG Binadamu/I-ORG katika/I-ORG Umoja/I-ORG wa/I-ORG Mataifa/I-ORG inatoa wito kwa Uganda/B-LOC kurekebisha mswaada wa kupiga marufuku mahusiano ya jinsia moja ambayo inasema yatakiuka viwango vya haki za binadamu na kudhoofisha afya ya umma .,O O O O O B-ORG I-ORG I-ORG I-ORG I-ORG I-ORG I-ORG O O O B-LOC O O O O O O O O O O O O O O O O O O O O O O O,True
train,34,"Mswaada uliopitishwa na Bunge la Uganda wiki iliyopita , lakini bado haujakamilishwa umekuwa ukiandaliwa tangu mwaka 2015 na kupitia mabadiliko kadhaa muhimu .","Mswaada uliopitishwa na Bunge la Uganda/B-LOC wiki/B-DATE iliyopita/I-DATE , lakini bado haujakamilishwa umekuwa ukiandaliwa tangu mwaka 2015/B-DATE na kupitia mabadiliko kadhaa muhimu .",O O O O O B-LOC B-DATE I-DATE O O O O O O O O B-DATE O O O O O O,True
train,35,"Maafisa wa haki za binadamu wanasema wanasikitishwa sana na uandikishaji na hatua hii ya hivi karibuni , ambayo italifanya kundi hili la watu kuwa wahalifu .","Maafisa wa haki za binadamu wanasema wanasikitishwa sana na uandikishaji na hatua hii ya hivi karibuni , ambayo italifanya kundi hili la watu kuwa wahalifu .",O O O O O O O O O O O O O O O O O O O O O O O O O O,False
train,36,"Chini ya mswaada huo , wanaona uhusiano wa jinsia moja ungeadhibiwa vikali , kama vile wafanyabiashara ya ngono na wale walioambukizwa VVU .","Chini ya mswaada huo , wanaona uhusiano wa jinsia moja ungeadhibiwa vikali , kama vile wafanyabiashara ya ngono na wale walioambukizwa VVU .",O O O O O O O O O O O O O O O O O O O O O O O,False
train,37,"Msemaji wa kamishna mkuu wa Umoja wa Mataifa , Rupert Colville , anasema adhabu ya mswaada huo kwa mahusiano ya jinsia moja umepunguzwa hadi miaka 10 jela badala ya kifungo cha maisha .","Msemaji wa kamishna mkuu wa Umoja/B-ORG wa/I-ORG Mataifa/I-ORG , Rupert/B-PER Colville/I-PER , anasema adhabu ya mswaada huo kwa mahusiano ya jinsia moja umepunguzwa hadi miaka 10 jela badala ya kifungo cha maisha .",O O O O O B-ORG I-ORG I-ORG O B-PER I-PER O O O O O O O O O O O O O O O O O O O O O O,True
train,38,"Walakini , anasema Sheria ya Makosa ya Kijinsia inaibua wasiwasi .","Walakini , anasema Sheria ya Makosa ya Kijinsia inaibua wasiwasi .",O O O O O O O O O O O,False
train,39,Colville amesema vifungu vingine vya kutisha katika Sheria hiyo ni pamoja na upimaji wa lazima na wa kulazimishwa wa VVU kwa washtakiwa .,Colville/B-PER amesema vifungu vingine vya kutisha katika Sheria hiyo ni pamoja na upimaji wa lazima na wa kulazimishwa wa VVU kwa washtakiwa .,B-PER O O O O O O O O O O O O O O O O O O O O O O,True
train,40,"UNAIDS , Mpango wa Pamoja wa Umoja wa Mataifa juu ya VVU / UKIMWI , inasema inaogopa suala la kuwakandamiza watu walioambukizwa VVU kutaondoa maendeleo mengi ambayo Uganda imepata katika kupunguza athari za ugonjwa huo .","UNAIDS/B-ORG , Mpango wa Pamoja wa Umoja/B-ORG wa/I-ORG Mataifa/I-ORG juu ya VVU / UKIMWI , inasema inaogopa suala la kuwakandamiza watu walioambukizwa VVU kutaondoa maendeleo mengi ambayo Uganda/B-LOC imepata katika kupunguza athari za ugonjwa huo .",B-ORG O O O O O B-ORG I-ORG I-ORG O O O O O O O O O O O O O O O O O O B-LOC O O O O O O O O,True
train,41,"Tangu 2010 , inasema , vifo vinavyohusiana na UKIMWI vimepungua kwa asilimia 60 na maambukizo mapya ya VVU yamepungua kwa asilimia 43 .","Tangu 2010/B-DATE , inasema , vifo vinavyohusiana na UKIMWI vimepungua kwa asilimia 60 na maambukizo mapya ya VVU yamepungua kwa asilimia 43 .",O B-DATE O O O O O O O O O O O O O O O O O O O O O,True
train,42,"Colville ameongeza kuwa mswaada huo unatoa ulinzi unaohitajika sana juu ya unyanyasaji wa kijinsia , jambo ambalo vikundi vya wanawake na vikundi vya kupambana na unyanyasaji wa kijinsia vimetetea kwa muda .","Colville/B-PER ameongeza kuwa mswaada huo unatoa ulinzi unaohitajika sana juu ya unyanyasaji wa kijinsia , jambo ambalo vikundi vya wanawake na vikundi vya kupambana na unyanyasaji wa kijinsia vimetetea kwa muda .",B-PER O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,True
train,43,"Walakini , anasema muswada huo kwa ujumla , hauzingatii sheria na viwango vya kimataifa , na lazima urekebishwe .","Walakini , anasema muswada huo kwa ujumla , hauzingatii sheria na viwango vya kimataifa , na lazima urekebishwe .",O O O O O O O O O O O O O O O O O O O,False
train,44,"Shirika la umoja wa mataifa la kuhudumia wakimbizi - UNHCR , limesema kwamba zaidi ya wakimbizi 27 , 000 wamekimbia kutoka Ethiopia na kuingia mashariki mwa Sudan , kufuatia mapigano yanayoendelea eneo la Tigray .","Shirika la umoja/B-ORG wa/I-ORG mataifa/I-ORG la/I-ORG kuhudumia/I-ORG wakimbizi/I-ORG - UNHCR/B-ORG , limesema kwamba zaidi ya wakimbizi 27 , 000 wamekimbia kutoka Ethiopia/B-LOC na kuingia mashariki mwa Sudan/B-LOC , kufuatia mapigano yanayoendelea eneo la Tigray/B-LOC .",O O B-ORG I-ORG I-ORG I-ORG I-ORG I-ORG O B-ORG O O O O O O O O O O O B-LOC O O O O B-LOC O O O O O O B-LOC O,True
train,45,Wanasema kwamba idadi hiyo ya wakimbizi ni kubwa zaidi kuwahi kuoekana katika siku za hivi karibuni nchini Sudan .,Wanasema kwamba idadi hiyo ya wakimbizi ni kubwa zaidi kuwahi kuoekana katika siku za hivi karibuni nchini Sudan/B-LOC .,O O O O O O O O O O O O O O O O O B-LOC O,True
train,46,"Kwa kiwango cha wastani , wanawake , Watoto na wanaumme 4 , 000 wanavuka mpaka wa Ethiopia na kuingia Sudan kila siku .","Kwa kiwango cha wastani , wanawake , Watoto na wanaumme 4 , 000 wanavuka mpaka wa Ethiopia/B-LOC na kuingia Sudan/B-LOC kila siku .",O O O O O O O O O O O O O O O O B-LOC O O B-LOC O O O,True
train,47,Hali imeendelea kuwa mbaya katika eneo la Tigray tangu serikali ya Ethiopia ilipoanza mashambulizi ya kijeshi wiki mbili zilizopita .,Hali imeendelea kuwa mbaya katika eneo la Tigray/B-LOC tangu serikali ya Ethiopia/B-LOC ilipoanza mashambulizi ya kijeshi wiki/B-DATE mbili/I-DATE zilizopita/I-DATE .,O O O O O O O B-LOC O O O B-LOC O O O O B-DATE I-DATE I-DATE O,True
train,48,Serikali ya Ethiopia imesema mashambulizi hayo yanatokana na shambulizi lililotekelezwa na wapiganaji wa Tigray - TPL dhidi ya kambi ya jeshi la serikali .,Serikali ya Ethiopia/B-LOC imesema mashambulizi hayo yanatokana na shambulizi lililotekelezwa na wapiganaji wa Tigray/B-LOC - TPL/B-ORG dhidi ya kambi ya jeshi la serikali .,O O B-LOC O O O O O O O O O O B-LOC O B-ORG O O O O O O O O,True
train,49,Maafisa wa UNHCR wamesema kwamba hali ya kibinadamu inaendelea kuwa mbaya katika eneo la Tigray .,Maafisa wa UNHCR/B-ORG wamesema kwamba hali ya kibinadamu inaendelea kuwa mbaya katika eneo la Tigray/B-LOC .,O O B-ORG O O O O O O O O O O O B-LOC O,True
train,50,"Waziri wa fedha wa Marekani , Steven Mnuchin , na Spika wa Baraza la Wawakilishi Nancy Pelosi , walikutana Jumatano , ili kufikia muafaka juu ya msaada wa fedha kwa raia wa Marekani .","Waziri wa fedha wa Marekani/B-LOC , Steven/B-PER Mnuchin/I-PER , na Spika wa Baraza la Wawakilishi Nancy/B-PER Pelosi/I-PER , walikutana Jumatano/B-DATE , ili kufikia muafaka juu ya msaada wa fedha kwa raia wa Marekani/B-LOC .",O O O O B-LOC O B-PER I-PER O O O O O O O B-PER I-PER O O B-DATE O O O O O O O O O O O O B-LOC O,True
train,51,"Fedha hizo ni kwa ajili ya kusaidia walioathiriwa na janga la virusi vya Corona , kabla ya bunge la Marekani kusitisha vikao vyake na kwenda kwenye kampeni za uchaguzi wa Novemba 3 .","Fedha hizo ni kwa ajili ya kusaidia walioathiriwa na janga la virusi vya Corona , kabla ya bunge la Marekani/B-LOC kusitisha vikao vyake na kwenda kwenye kampeni za uchaguzi wa Novemba/B-DATE 3/I-DATE .",O O O O O O O O O O O O O O O O O O O B-LOC O O O O O O O O O O B-DATE I-DATE O,True
train,52,"Wawili hao walikutana kujadili kwa kina yaliomo ndani ya muswada wa sheria ambao utatoa pesa zaidi kwa familia za Wamarekani , na Wafanyabiashara .","Wawili hao walikutana kujadili kwa kina yaliomo ndani ya muswada wa sheria ambao utatoa pesa zaidi kwa familia za Wamarekani , na Wafanyabiashara .",O O O O O O O O O O O O O O O O O O O O O O O O,False
train,53,"Fedha zitalenga mamillioni ya Wamarekani waliopoteza ajira , kutoa msaada wa fedha kwa majimbo na serekali za wilaya , pamoja na kulinda biashara zisifilisike .","Fedha zitalenga mamillioni ya Wamarekani waliopoteza ajira , kutoa msaada wa fedha kwa majimbo na serekali za wilaya , pamoja na kulinda biashara zisifilisike .",O O O O O O O O O O O O O O O O O O O O O O O O O,False
train,54,Tofauti ilioonekana kwenye majadiliano hayo ni kuhusu kiwango cha msaada wenyewe .,Tofauti ilioonekana kwenye majadiliano hayo ni kuhusu kiwango cha msaada wenyewe .,O O O O O O O O O O O O,False
train,55,"Baraza la wawakilishi linalodhibitiwa na Wademocrats linajiaanda kupitisha msaada wa dola trillioni 2 . 2 , ambao unapingwa na Warepublican .","Baraza la wawakilishi linalodhibitiwa na Wademocrats linajiaanda kupitisha msaada wa dola trillioni 2 . 2 , ambao unapingwa na Warepublican .",O O O O O O O O O O O O O O O O O O O O O,False
